ensembl_id,symbol
ENSG00000117650,NEK2
ENSG00000106278,PTPRZ1
ENSG00000147255,IGSF1
ENSG00000092853,CLSPN
ENSG00000100526,CDKN3
ENSG00000037042,TUBG2
ENSG00000189057,FAM111B
ENSG00000126787,DLGAP5
ENSG00000171320,ESCO2
ENSG00000203805,PLPP4
ENSG00000165194,PCDH19
ENSG00000174371,EXO1
ENSG00000211659,IGLV3-25
ENSG00000165304,MELK
ENSG00000119950,MXI1
ENSG00000236313,VN1R53P
ENSG00000151651,ADAM8
ENSG00000154839,SKA1
ENSG00000091831,ESR1
ENSG00000132561,MATN2
ENSG00000165480,SKA3
ENSG00000164611,PTTG1
ENSG00000135094,SDS
ENSG00000184937,WT1
ENSG00000175063,UBE2C
ENSG00000125931,CITED1
ENSG00000164932,CTHRC1
ENSG00000123485,HJURP
ENSG00000049249,TNFRSF9
ENSG00000093009,CDC45
ENSG00000100626,GALNT16
ENSG00000134760,DSG1
ENSG00000161888,SPC24
ENSG00000146410,MTFR2
ENSG00000179796,LRRC3B
ENSG00000168078,PBK
ENSG00000138778,CENPE
ENSG00000111206,FOXM1
ENSG00000109674,NEIL3
ENSG00000101057,MYBL2
ENSG00000117984,CTSD
ENSG00000138755,CXCL9
ENSG00000087586,AURKA
ENSG00000146070,PLA2G7
ENSG00000163884,KLF15
ENSG00000172478,MAB21L4
ENSG00000127743,IL17B
ENSG00000164128,NPY1R
ENSG00000088325,TPX2
ENSG00000143476,DTL
ENSG00000171310,CHST11
ENSG00000262406,MMP12
ENSG00000156234,CXCL13
ENSG00000174326,SLC16A11
ENSG00000158458,NRG2
ENSG00000165621,OXGR1
ENSG00000221955,SLC12A8
ENSG00000167553,TUBA1C
ENSG00000168004,PLAAT5
ENSG00000103257,SLC7A5
ENSG00000080986,NDC80
ENSG00000011426,ANLN
ENSG00000186074,CD300LF
ENSG00000277494,GPIHBP1
ENSG00000090889,KIF4A
ENSG00000174680,GRIK1-AS1
ENSG00000186301,MST1P2
ENSG00000138316,ADAMTS14
ENSG00000251141,MRPS30-DT
ENSG00000168476,REEP4
ENSG00000134690,CDCA8
ENSG00000198814,GK
ENSG00000128606,LRRC17
ENSG00000104321,TRPA1
ENSG00000139144,PIK3C2G
ENSG00000039139,DNAH5
ENSG00000104368,PLAT
ENSG00000205420,KRT6A
ENSG00000138131,LOXL4
ENSG00000099769,IGFALS
ENSG00000186847,KRT14
ENSG00000152527,PLEKHH2
ENSG00000162063,CCNF
ENSG00000249661,TNRC18P1
ENSG00000154736,ADAMTS5
ENSG00000070031,SCT
ENSG00000164733,CTSB
ENSG00000094804,CDC6
ENSG00000145050,MANF
ENSG00000128965,CHAC1
ENSG00000223485,LINC01615
ENSG00000188517,COL25A1
ENSG00000159176,CSRP1
ENSG00000284753,EEF1AKMT4
ENSG00000291119,DPY19L2P4
ENSG00000100985,MMP9
ENSG00000170959,DCDC1
ENSG00000129173,E2F8
ENSG00000180660,MAB21L1
ENSG00000050555,LAMC3
ENSG00000174498,IGDCC3
ENSG00000111341,MGP
ENSG00000007402,CACNA2D2
ENSG00000275385,CCL18
ENSG00000137573,SULF1
ENSG00000197409,H3C4
ENSG00000129757,CDKN1C
ENSG00000197308,GATA3-AS1
ENSG00000185585,OLFML2A
ENSG00000109805,NCAPG
ENSG00000142945,KIF2C
ENSG00000165821,SALL2
ENSG00000172061,LRRC15
ENSG00000134668,SPOCD1
ENSG00000100162,CENPM
ENSG00000117724,CENPF
ENSG00000085840,ORC1
ENSG00000156738,MS4A1
ENSG00000130304,SLC27A1
ENSG00000007968,E2F2
ENSG00000135547,HEY2
ENSG00000164056,SPRY1
ENSG00000165349,SLC7A3
ENSG00000231023,LINC00326
ENSG00000163017,ACTG2
ENSG00000091651,ORC6
ENSG00000109846,CRYAB
ENSG00000211896,IGHG1
ENSG00000117399,CDC20
ENSG00000137812,KNL1
ENSG00000155980,KIF5A
ENSG00000119147,ECRG4
ENSG00000145386,CCNA2
ENSG00000007372,PAX6
ENSG00000118777,ABCG2
ENSG00000178965,ERICH3
ENSG00000231131,LOC105378305
ENSG00000034239,CLXN
ENSG00000241158,ADAMTS9-AS1
ENSG00000198838,RYR3
ENSG00000113368,LMNB1
ENSG00000161055,SCGB3A1
ENSG00000169136,ATF5
ENSG00000265206,MIR142HG
ENSG00000227888,FAM86B2-DT
ENSG00000138435,CHRNA1
ENSG00000180914,OXTR
ENSG00000211956,IGHV4-34
ENSG00000154678,PDE1C
ENSG00000182983,ZNF662
ENSG00000290801,LINC00993
ENSG00000058404,CAMK2B
ENSG00000144891,AGTR1
ENSG00000173258,ZNF483
ENSG00000186871,ERCC6L
ENSG00000180549,FUT7
ENSG00000173947,CIMAP3
ENSG00000139734,DIAPH3
ENSG00000089685,BIRC5
ENSG00000187824,TMEM220
ENSG00000163600,ICOS
ENSG00000138685,FGF2
ENSG00000108924,HLF
ENSG00000196932,TMEM26
ENSG00000181467,RAP2B
ENSG00000196092,PAX5
ENSG00000276644,DACH1
ENSG00000143127,ITGA10
ENSG00000151623,NR3C2
ENSG00000104415,CCN4
ENSG00000197472,ZNF695
ENSG00000127564,PKMYT1
ENSG00000186642,PDE2A
ENSG00000075218,GTSE1
ENSG00000269289,ZNF276-AS1
ENSG00000171189,GRIK1
ENSG00000135451,TROAP
ENSG00000157456,CCNB2
ENSG00000215915,ATAD3C
ENSG00000185527,PDE6G
ENSG00000161649,CD300LG
ENSG00000225950,NTF4
ENSG00000161800,RACGAP1
ENSG00000132185,FCRLA
ENSG00000259030,FPGT-TNNI3K
ENSG00000106462,EZH2
ENSG00000241684,ADAMTS9-AS2
ENSG00000178662,CSRNP3
ENSG00000105894,PTN
ENSG00000108821,COL1A1
ENSG00000154451,GBP5
ENSG00000138180,CEP55
ENSG00000128203,ASPHD2
ENSG00000160883,HK3
ENSG00000116661,FBXO2
ENSG00000035499,DEPDC1B
ENSG00000133216,EPHB2
ENSG00000249669,CARMN
ENSG00000300966,LOC107986528
ENSG00000252621,Y_RNA
ENSG00000138160,KIF11
ENSG00000134824,FADS2
ENSG00000253250,C8orf88
ENSG00000237649,KIFC1
ENSG00000103522,IL21R
ENSG00000150764,DIXDC1
ENSG00000126351,THRA
ENSG00000101447,SACK1D
ENSG00000171962,DRC3
ENSG00000170373,CST1
ENSG00000166450,PRTG
ENSG00000224713,ARHGEF25-AS1
ENSG00000241935,HOGA1
ENSG00000051341,POLQ
ENSG00000184661,CDCA2
ENSG00000025423,HSD17B6
ENSG00000156970,BUB1B
ENSG00000105989,WNT2
ENSG00000123473,STIL
ENSG00000197299,BLM
ENSG00000196549,MME
ENSG00000111602,TIMELESS
ENSG00000165323,FAT3
ENSG00000169679,BUB1
ENSG00000090006,LTBP4
ENSG00000122952,ZWINT
ENSG00000183807,FAM162B
ENSG00000155886,SLC24A2
ENSG00000148123,PLPPR1
ENSG00000226891,LINC01359
ENSG00000153291,SLC25A27
ENSG00000128165,ADM2
ENSG00000105173,CCNE1
ENSG00000138623,SEMA7A
ENSG00000100292,HMOX1
ENSG00000138964,PARVG
ENSG00000024526,DEPDC1
ENSG00000179222,MAGED1
ENSG00000101412,E2F1
ENSG00000118193,KIF14
ENSG00000106823,ECM2
ENSG00000186818,LILRB4
ENSG00000019169,MARCO
ENSG00000104738,MCM4
ENSG00000204540,PSORS1C1
ENSG00000109971,HSPA8
ENSG00000231806,PCAT7
ENSG00000175567,UCP2
ENSG00000276386,CNTNAP3P2
ENSG00000051180,RAD51
ENSG00000151303,AGAP11
ENSG00000172201,ID4
ENSG00000105011,ASF1B
ENSG00000287354,LOC124904503
ENSG00000146670,CDCA5
ENSG00000112149,CD83
ENSG00000123975,CKS2
ENSG00000117009,KMO
ENSG00000112183,RBM24
ENSG00000048342,CC2D2A
ENSG00000169607,CKAP2L
ENSG00000177494,ZBED2
ENSG00000102144,PGK1
ENSG00000092096,SLC22A17
ENSG00000130066,SAT1
ENSG00000183856,IQGAP3
ENSG00000121152,NCAPH
ENSG00000049768,FOXP3
ENSG00000196787,H2AC11
ENSG00000271133,ITGB8-AS1
ENSG00000228971,LINC02607
ENSG00000198796,ALPK2
ENSG00000253755,IGHGP
ENSG00000088543,C3orf18
ENSG00000178999,AURKB
ENSG00000168542,COL3A1
ENSG00000148513,ANKRD30A
ENSG00000158714,SLAMF8
ENSG00000126562,WNK4
ENSG00000100453,GZMB
ENSG00000203685,STUM
ENSG00000187123,LYPD6
ENSG00000172752,COL6A5
ENSG00000159958,TNFRSF13C
ENSG00000143228,NUF2
ENSG00000135476,ESPL1
ENSG00000131747,TOP2A
ENSG00000164109,MAD2L1
ENSG00000156802,ATAD2
ENSG00000182575,NXPH3
ENSG00000163808,KIF15
ENSG00000134765,DSC1
ENSG00000129596,CDO1
ENSG00000180071,ANKRD18A
ENSG00000171241,SHCBP1
ENSG00000115163,CENPA
ENSG00000137309,HMGA1
ENSG00000166851,PLK1
ENSG00000182010,RTKN2
ENSG00000072274,TFRC
ENSG00000105255,FSD1
ENSG00000120694,HSPH1
ENSG00000065328,MCM10
ENSG00000211893,IGHG2
ENSG00000160856,FCRL3
ENSG00000229108,LINC02587
ENSG00000113396,SLC27A6
ENSG00000179915,NRXN1
ENSG00000011422,PLAUR
ENSG00000157782,CABP1
ENSG00000136295,TTYH3
ENSG00000139946,PELI2
ENSG00000158406,H4C8
ENSG00000130203,APOE
ENSG00000101049,SGK2
ENSG00000104524,PYCR3
ENSG00000135338,LCA5
ENSG00000232679,LINC02257
ENSG00000225783,MIAT
ENSG00000147257,GPC3
ENSG00000013810,TACC3
ENSG00000169245,CXCL10
ENSG00000163749,CCDC158
ENSG00000177807,KCNJ10
ENSG00000078549,ADCYAP1R1
ENSG00000137135,ARHGEF39
ENSG00000270876,ZNF30-AS1
ENSG00000166924,NYAP1
ENSG00000106366,SERPINE1
ENSG00000107485,GATA3
ENSG00000186910,SERPINA11
ENSG00000134057,CCNB1
ENSG00000103253,HAGHL
ENSG00000179218,CALR
ENSG00000111665,CDCA3
ENSG00000101349,PAK5
ENSG00000090530,P3H2
ENSG00000214140,PRCD
ENSG00000189159,JPT1
ENSG00000153822,KCNJ16
ENSG00000135074,ADAM19
ENSG00000164007,CLDN19
ENSG00000131203,IDO1
ENSG00000112175,BMP5
ENSG00000121966,CXCR4
ENSG00000133466,C1QTNF6
ENSG00000286647,LOC124900989
ENSG00000198805,PNP
ENSG00000203499,IQANK1
ENSG00000124507,PACSIN1
ENSG00000071539,TRIP13
ENSG00000090382,LYZ
ENSG00000165028,NIPSNAP3B
ENSG00000157404,KIT
ENSG00000142583,SLC2A5
ENSG00000251381,LINC00958
ENSG00000169248,CXCL11
ENSG00000149380,P4HA3
ENSG00000168497,CAVIN2
ENSG00000073282,TP63
ENSG00000182481,KPNA2
ENSG00000236751,LINC01186
ENSG00000009790,TRAF3IP3
ENSG00000182379,NXPH4
ENSG00000165891,E2F7
ENSG00000004776,HSPB6
ENSG00000139618,BRCA2
ENSG00000166803,PCLAF
ENSG00000140022,STON2
ENSG00000165804,ZNF219
ENSG00000153395,LPCAT1
ENSG00000133800,LYVE1
ENSG00000291116,PLAC9P1
ENSG00000205744,DENND1C
ENSG00000102575,ACP5
ENSG00000108829,LRRC59
ENSG00000155660,PDIA4
ENSG00000291115,ZNF300P1
ENSG00000198483,ANKRD35
ENSG00000196440,ARMCX4
ENSG00000157193,LRP8
ENSG00000166986,MARS1
ENSG00000106105,GARS1
ENSG00000131094,C1QL1
ENSG00000105227,PRX
ENSG00000121933,TMIGD3
ENSG00000168702,LRP1B
ENSG00000163534,FCRL1
ENSG00000106006,HOXA6
ENSG00000112164,GLP1R
ENSG00000133067,LGR6
ENSG00000152779,SLC16A12
ENSG00000230937,MIR205HG
ENSG00000123838,C4BPA
ENSG00000211653,IGLV1-40
ENSG00000091513,TF
ENSG00000198826,ARHGAP11A
ENSG00000184564,SLITRK6
ENSG00000173894,CBX2
ENSG00000004468,CD38
ENSG00000258818,RNASE4
ENSG00000029153,BMAL2
ENSG00000181856,SLC2A4
ENSG00000226409,LOC102723341
ENSG00000102100,SLC35A2
ENSG00000215251,FASTKD5
ENSG00000178199,ZC3H12D
ENSG00000135838,NPL
ENSG00000233006,MIR3936HG
ENSG00000246084,LINC02325
ENSG00000211897,IGHG3
ENSG00000154258,ABCA9
ENSG00000226833,PPP1CB-DT
ENSG00000115423,DNAH6
ENSG00000171346,KRT15
ENSG00000157542,KCNJ6
ENSG00000183378,OVCH2
ENSG00000129244,ATP1B2
ENSG00000133816,MICAL2
ENSG00000154263,ABCA10
ENSG00000187116,LILRA5
ENSG00000167434,CA4
ENSG00000187134,AKR1C1
ENSG00000144857,BOC
ENSG00000187741,FANCA
ENSG00000186265,BTLA
ENSG00000007516,BAIAP3
ENSG00000068489,PRR11
ENSG00000101670,LIPG
ENSG00000077152,UBE2T
ENSG00000180777,ANKRD30B
ENSG00000139874,SSTR1
ENSG00000165810,BTNL9
ENSG00000188610,RUMY2
ENSG00000082175,PGR
ENSG00000169495,HTRA4
ENSG00000125454,SLC25A19
ENSG00000274576,IGHV2-70
ENSG00000163531,NFASC
ENSG00000007314,SCN4A
ENSG00000211966,IGHV5-51
ENSG00000108106,UBE2S
ENSG00000083454,P2RX5
ENSG00000167641,PPP1R14A
ENSG00000135127,BICDL1
ENSG00000258441,LINC00641
ENSG00000130653,PNPLA7
ENSG00000136854,STXBP1
ENSG00000182916,TCEAL7
ENSG00000146005,PSD2
ENSG00000118946,PCDH17
ENSG00000172987,HPSE2
ENSG00000139631,CSAD
ENSG00000292333,P2RY8
ENSG00000244402,RN7SL314P
ENSG00000235687,LINC00993
ENSG00000139910,NOVA1
ENSG00000163599,CTLA4
ENSG00000196668,LINC00173
ENSG00000181778,TMEM252
ENSG00000155918,RAET1L
ENSG00000164330,EBF1
ENSG00000176092,CRYBG2
ENSG00000167701,GPT
ENSG00000164032,H2AZ1
ENSG00000038945,MSR1
ENSG00000123610,TNFAIP6
ENSG00000097046,CDC7
ENSG00000137571,SLCO5A1
ENSG00000019485,PRDM11
ENSG00000224958,PGM5-AS1
ENSG00000158258,CLSTN2
ENSG00000164045,CDC25A
ENSG00000130176,CNN1
ENSG00000111640,GAPDH
ENSG00000171819,ANGPTL7
ENSG00000293490,SLC66A1LP
ENSG00000211945,IGHV1-18
ENSG00000173114,LRRN3
ENSG00000149050,ZNF214
ENSG00000101003,GINS1
ENSG00000132326,PER2
ENSG00000156886,ITGAD
ENSG00000247809,NR2F2-AS1
ENSG00000165863,SPMIP5
ENSG00000253490,LINC02099
ENSG00000165801,ARHGEF40
ENSG00000272068,BCAN-AS1
ENSG00000165244,ZNF367
ENSG00000239887,C1orf226
ENSG00000125657,TNFSF9
ENSG00000230107,LOC101927344
ENSG00000138640,FAM13A
ENSG00000073910,FRY
ENSG00000010319,SEMA3G
ENSG00000115884,SDC1
ENSG00000092345,DAZL
ENSG00000168389,MFSD2A
ENSG00000164039,BDH2
ENSG00000173085,COQ2
ENSG00000147614,ATP6V0D2
ENSG00000256650,RERG-IT1
ENSG00000227507,LTB
ENSG00000187730,GABRD
ENSG00000227467,LINC01537
ENSG00000089169,RPH3A
ENSG00000105974,CAV1
ENSG00000075702,WDR62
ENSG00000152256,PDK1
ENSG00000100721,TCL1A
ENSG00000151376,ME3
ENSG00000152766,ANKRD22
ENSG00000076382,SPAG5
ENSG00000166106,ADAMTS15
ENSG00000203778,FAM229B
ENSG00000244437,IGKV3-15
ENSG00000059573,ALDH18A1
ENSG00000170369,CST2
ENSG00000137693,YAP1
ENSG00000157150,TIMP4
ENSG00000124635,H2BC11
ENSG00000182183,SHISAL2A
ENSG00000197291,RAMP2-AS1
ENSG00000074211,PPP2R2C
ENSG00000154027,AK5
ENSG00000149090,PAMR1
ENSG00000078081,LAMP3
ENSG00000169418,NPR1
ENSG00000025708,TYMP
ENSG00000167483,NIBAN3
ENSG00000254986,DPP3
ENSG00000116017,ARID3A
ENSG00000070915,SLC12A3
ENSG00000172824,CES4A
ENSG00000153310,CYRIB
ENSG00000160949,TONSL
ENSG00000235947,EGOT
ENSG00000113578,FGF1
ENSG00000123119,NECAB1
ENSG00000185002,RFX6
ENSG00000253522,MIR3142HG
ENSG00000119686,FLVCR2
ENSG00000259146,SIPA1L1-AS1
ENSG00000204936,CD177
ENSG00000122254,HS3ST2
ENSG00000153002,CPB1
ENSG00000164885,CDK5
ENSG00000269113,TRABD2B
ENSG00000170909,OSCAR
ENSG00000136490,LIMD2
ENSG00000117322,CR2
ENSG00000232079,LINC01697
ENSG00000172243,CLEC7A
ENSG00000167977,KCTD5
ENSG00000163431,LMOD1
ENSG00000008311,AASS
ENSG00000107742,SPOCK2
ENSG00000181847,TIGIT
ENSG00000178295,GEN1
ENSG00000106714,CNTNAP3
ENSG00000164692,COL1A2
ENSG00000165730,STOX1
ENSG00000287826,LOC124902005
ENSG00000140678,ITGAX
ENSG00000144115,THNSL2
ENSG00000086991,NOX4
ENSG00000170619,COMMD5
ENSG00000151882,CCL28
ENSG00000238078,LINC01352
ENSG00000090104,RGS1
ENSG00000129810,SGO1
ENSG00000239961,LILRA4
ENSG00000269151,PPP5C-AS1
ENSG00000158402,CDC25C
ENSG00000164591,MYOZ3
ENSG00000169297,NR0B1
ENSG00000282728,PGR-AS1
ENSG00000158859,ADAMTS4
ENSG00000268751,SCGB1B2P
ENSG00000271856,LINC01215
ENSG00000188505,NCCRP1
ENSG00000147027,TMEM47
ENSG00000177602,HASPIN
ENSG00000139626,ITGB7
ENSG00000188404,SELL
ENSG00000248994,LOC124901165
ENSG00000254349,MIR2052HG
ENSG00000266088,LOC105371773
ENSG00000101265,RASSF2
ENSG00000101084,RAB5IF
ENSG00000203747,FCGR3A
ENSG00000120049,KCNIP2
ENSG00000138071,ACTR2
ENSG00000133116,KL
ENSG00000159259,CHAF1B
ENSG00000227036,LINC00511
ENSG00000184445,KNTC1
ENSG00000182310,SPACA6
ENSG00000181513,ACBD4
ENSG00000167779,IGFBP6
ENSG00000135218,CD36
ENSG00000010030,ETV7
ENSG00000188001,TPRG1
ENSG00000211978,IGHV5-78
ENSG00000211669,IGLV3-10
ENSG00000115556,PLCD4
ENSG00000114019,AMOTL2
ENSG00000161405,IKZF3
ENSG00000079308,TNS1
ENSG00000106686,SPATA6L
ENSG00000158445,KCNB1
ENSG00000167618,LAIR2
ENSG00000162444,RBP7
ENSG00000187474,FPR3
ENSG00000158301,GPRASP2
ENSG00000272143,FGF14-AS2
ENSG00000143799,PARP1
ENSG00000154162,CDH12
ENSG00000198759,EGFL6
ENSG00000224397,PELATON
ENSG00000165186,PTCHD1
ENSG00000110455,ACCS
ENSG00000197766,CFD
ENSG00000126353,CCR7
ENSG00000169583,CLIC3
ENSG00000170209,ANKK1
ENSG00000129521,EGLN3
ENSG00000266256,LINC00908
ENSG00000105612,DNASE2
ENSG00000149451,ADAM33
ENSG00000140749,IGSF6
ENSG00000224940,PRRT4
ENSG00000205846,CLEC6A
ENSG00000160190,SLC37A1
ENSG00000198018,ENTPD7
ENSG00000171303,KCNK3
ENSG00000184481,FOXO4
ENSG00000108179,PPIF
ENSG00000211662,IGLV3-21
ENSG00000290782,CFL1P1
ENSG00000164129,NPY5R
ENSG00000125257,ABCC4
ENSG00000184730,APOBR
ENSG00000259772,LINC03034
ENSG00000142233,NTN5
ENSG00000214548,MEG3
ENSG00000140650,PMM2
ENSG00000136167,LCP1
ENSG00000292995,TPRXL
ENSG00000169436,COL22A1
ENSG00000112812,PRSS16
ENSG00000105971,CAV2
ENSG00000286289,LOC107984270
ENSG00000179094,PER1
ENSG00000177990,DPY19L2
ENSG00000006283,CACNA1G
ENSG00000085999,RAD54L
ENSG00000129195,PIMREG
ENSG00000143119,CD53
ENSG00000173805,HAP1
ENSG00000143643,TTC13
ENSG00000153902,LGI4
ENSG00000123096,SSPN
ENSG00000157613,CREB3L1
ENSG00000185290,NUPR2
ENSG00000185149,NPY2R
ENSG00000172578,KLHL6
ENSG00000018236,CNTN1
ENSG00000134020,PEBP4
ENSG00000114698,PLSCR4
ENSG00000181264,TLCD5
ENSG00000092607,TBX15
ENSG00000146678,IGFBP1
ENSG00000204021,LIPK
ENSG00000159263,SIM2
ENSG00000163362,INAVA
ENSG00000070193,FGF10
ENSG00000121594,CD80
ENSG00000242265,PEG10
ENSG00000137727,ARHGAP20
ENSG00000127990,SGCE
ENSG00000224559,LINC01087
ENSG00000163376,KBTBD8
ENSG00000136842,TMOD1
ENSG00000180354,MTURN
ENSG00000074842,MYDGF
ENSG00000124074,ENKD1
ENSG00000176533,GNG7
ENSG00000108381,ASPA
ENSG00000154856,APCDD1
ENSG00000070778,PTPN21
ENSG00000033100,CHPF2
ENSG00000105369,CD79A
ENSG00000197405,C5AR1
ENSG00000169258,GPRIN1
ENSG00000106689,LHX2
ENSG00000103888,CEMIP
ENSG00000285906,LOC102723663
ENSG00000163121,NEURL3
ENSG00000076555,ACACB
ENSG00000077279,DCX
ENSG00000074370,ATP2A3
ENSG00000134138,MEIS2
ENSG00000213186,TRIM59
ENSG00000183734,ASCL2
ENSG00000278771,RN7SL3
ENSG00000050730,TNIP3
ENSG00000114346,ECT2
ENSG00000291129,PPIEL
ENSG00000147256,ARHGAP36
ENSG00000130307,USHBP1
ENSG00000145936,KCNMB1
ENSG00000102970,CCL17
ENSG00000117593,DARS2
ENSG00000171124,FUT3
ENSG00000211638,IGLV8-61
ENSG00000204577,LILRB3
ENSG00000136628,EPRS1
ENSG00000117122,MFAP2
ENSG00000283063,TRBV6-3
ENSG00000159648,SPMIP8
ENSG00000065911,MTHFD2
ENSG00000267594,CYP4F24P
ENSG00000125726,CD70
ENSG00000133110,POSTN
ENSG00000226516,FAM138B
ENSG00000263155,MYZAP
ENSG00000128510,CPA4
ENSG00000169744,LDB2
ENSG00000182253,SYNM
ENSG00000103044,HAS3
ENSG00000234883,MIR155HG
ENSG00000151276,MAGI1
ENSG00000125910,S1PR4
ENSG00000167244,IGF2
ENSG00000153993,SEMA3D
ENSG00000117410,ATP6V0B
ENSG00000277224,H2BC7
ENSG00000131730,CKMT2
ENSG00000065534,MYLK
ENSG00000162745,OLFML2B
ENSG00000166292,TMEM100
ENSG00000151892,GFRA1
ENSG00000112742,TTK
ENSG00000130595,TNNT3
ENSG00000152076,CCDC74B
ENSG00000094963,FMO2
ENSG00000204140,CLPSL1
ENSG00000223923,TNS1-AS1
ENSG00000130675,MNX1
ENSG00000185803,SLC52A2
ENSG00000065600,PACC1
ENSG00000120262,CCDC170
ENSG00000160999,SH2B2
ENSG00000188389,PDCD1
ENSG00000129450,SIGLEC9
ENSG00000137962,ARHGAP29
ENSG00000154096,THY1
ENSG00000018280,SLC11A1
ENSG00000237125,HAND2-AS1
ENSG00000162511,LAPTM5
ENSG00000229312,LOC124902178
ENSG00000072571,HMMR
ENSG00000166961,MS4A15
ENSG00000156787,TBC1D31
ENSG00000178222,RNF212
ENSG00000280411,IGHV1-69D
ENSG00000254951,LOC283299
ENSG00000121621,KIF18A
ENSG00000260001,TGFBR3L
ENSG00000160791,CCR5
ENSG00000135447,PPP1R1A
ENSG00000137807,KIF23
ENSG00000179750,APOBEC3B
ENSG00000154358,OBSCN
ENSG00000151364,KCTD14
ENSG00000263513,RUMY3
ENSG00000163354,DCST2
ENSG00000140557,ST8SIA2
ENSG00000101463,SYNDIG1
ENSG00000157020,SEC13
ENSG00000184867,ARMCX2
ENSG00000128944,KNSTRN
ENSG00000170266,GLB1
ENSG00000257986,LINC02306
ENSG00000166342,NETO1
ENSG00000159753,CARMIL2
ENSG00000139572,GPR84
ENSG00000013725,CD6
ENSG00000163239,TDRD10
ENSG00000100196,KDELR3
ENSG00000186185,KIF18B
ENSG00000138829,FBN2
ENSG00000185267,CDNF
ENSG00000167100,SAMD14
ENSG00000052850,ALX4
ENSG00000179523,EIF3J-DT
ENSG00000054967,RELT
ENSG00000251359,WWC2-AS2
ENSG00000211959,IGHV4-39
ENSG00000132182,NUP210
ENSG00000174469,CNTNAP2
ENSG00000165795,NDRG2
ENSG00000153898,MCOLN2
ENSG00000136026,CKAP4
ENSG00000102384,CENPI
ENSG00000181135,ZNF707
ENSG00000106683,LIMK1
ENSG00000139211,AMIGO2
ENSG00000253364,COPDA1
ENSG00000250056,LINC01018
ENSG00000245812,LINC02202
ENSG00000150337,FCGR1A
ENSG00000163131,CTSS
ENSG00000183010,PYCR1
ENSG00000002726,AOC1
ENSG00000169508,GPR183
ENSG00000197182,MIRLET7BHG
ENSG00000165807,PPP1R36
ENSG00000188060,RAB42
ENSG00000136634,IL10
ENSG00000128595,CALU
ENSG00000183242,WT1-AS
ENSG00000117394,SLC2A1
ENSG00000188263,IL17REL
ENSG00000164087,POC1A
ENSG00000009765,IYD
ENSG00000171793,CTPS1
ENSG00000224616,RTCA-AS1
ENSG00000279082,LINC01727
ENSG00000110448,CD5
ENSG00000187800,PEAR1
ENSG00000258708,SLC25A21-AS1
ENSG00000285051,SLC7A14-AS1
ENSG00000226979,LTA
ENSG00000124657,OR2B6
ENSG00000100154,TTC28
ENSG00000163040,CCDC74A
ENSG00000176619,LMNB2
ENSG00000140525,FANCI
ENSG00000087494,PTHLH
ENSG00000234965,SHISA8
ENSG00000204065,TCEAL5
ENSG00000162062,TEDC2
ENSG00000100385,IL2RB
ENSG00000224032,EPB41L4A-AS1
